Time,Gyro_p1_01,Rotation_pA_01,Rotation_pB_01
17.800,-426.000,18.464,24.094,
17.900,-434.000,18.578,24.317,
18.000,-439.000,18.692,24.536,
18.100,-446.000,18.808,24.767,
18.200,-458.000,18.914,24.983,
18.300,-469.000,19.022,25.211,
18.400,-475.000,19.133,25.433,
18.500,-484.000,19.247,25.664,
18.600,-491.000,19.361,25.886,
18.700,-503.000,19.475,26.114,
18.800,-513.000,19.592,26.344,
18.900,-522.000,19.703,26.564,
19.000,-531.000,19.817,26.792,
19.100,-541.000,19.931,27.019,
19.200,-549.000,20.044,27.247,
19.300,-559.000,20.158,27.472,
19.400,-563.000,20.272,27.697,
19.500,-572.000,20.389,27.931,
19.600,-581.000,20.503,28.156,
19.700,-594.000,20.619,28.383,
19.800,-600.000,20.731,28.603,
19.900,-614.000,20.847,28.839,
20.000,-621.000,20.961,29.067,
20.100,-625.000,21.075,29.292,
20.200,-637.000,21.189,29.519,
20.300,-641.000,21.297,29.736,
20.400,-652.000,21.414,29.969,
20.500,-659.000,21.531,30.194,
20.600,-670.000,21.639,30.414,
20.700,-679.000,21.753,30.639,
20.800,-683.000,21.867,30.867,
20.900,-695.000,21.981,31.097,
21.000,-705.000,22.092,31.317,
21.100,-709.000,22.203,31.542,
21.200,-718.000,22.319,31.772,
21.300,-730.000,22.433,31.994,
21.400,-739.000,22.547,32.219,
21.500,-747.000,22.664,32.444,
21.600,-752.000,22.775,32.669,
21.700,-761.000,22.889,32.897,
21.800,-773.000,23.003,33.122,
21.900,-778.000,23.111,33.339,
22.000,-786.000,23.225,33.564,
22.100,-796.000,23.342,33.792,
22.200,-797.000,23.453,34.006,
22.300,-805.000,23.575,34.239,
22.400,-818.000,23.675,34.439,
22.500,-824.000,23.781,34.658,
22.600,-832.000,23.894,34.892,
22.700,-845.000,24.003,35.114,
22.800,-853.000,24.114,35.339,
22.900,-863.000,24.228,35.564,
23.000,-869.000,24.344,35.789,
23.100,-881.000,24.458,36.017,
23.200,-890.000,24.572,36.242,
23.300,-893.000,24.686,36.464,
23.400,-902.000,24.803,36.689,
23.500,-916.000,24.914,36.917,
23.600,-927.000,25.028,37.144,
23.700,-931.000,25.139,37.367,
23.800,-942.000,25.253,37.594,
23.900,-948.000,25.369,37.819,
24.000,-957.000,25.483,38.050,
24.100,-957.000,25.597,38.275,
24.200,-975.000,25.711,38.500,
24.300,-986.000,25.825,38.728,
24.400,-991.000,25.944,38.967,
24.500,-1000.000,26.050,39.183,
24.600,-1000.000,26.164,39.411,
24.700,-1000.000,26.272,39.625,
24.800,-1000.000,26.386,39.853,
24.900,-1038.000,26.500,40.078,
25.000,-1042.000,26.614,40.303,
25.100,-1042.000,26.725,40.525,
25.200,-1042.000,26.842,40.756,
25.300,-1068.000,26.950,40.978,
25.400,-1068.000,27.064,41.206,
25.500,-1068.000,27.175,41.428,
25.600,-1098.000,27.292,41.656,
25.700,-1103.000,27.403,41.878,
25.800,-1111.000,27.519,42.106,
25.900,-1111.000,27.633,42.333,
26.000,-1129.000,27.744,42.550,
26.100,-1137.000,27.858,42.775,
26.200,-1147.000,27.972,43.003,
26.300,-1157.000,28.083,43.225,
26.400,-1161.000,28.197,43.439,
26.500,-1164.000,28.317,43.669,
26.600,-1175.000,28.419,43.878,
26.700,-1182.000,28.525,44.103,
26.800,-1191.000,28.639,44.331,
26.900,-1200.000,28.747,44.550,
27.000,-1200.000,28.861,44.775,
27.100,-1219.000,28.972,45.000,
27.200,-1227.000,29.086,45.228,
27.300,-1227.000,29.200,45.450,
27.400,-1227.000,29.314,45.672,
27.500,-1227.000,29.431,45.906,
27.600,-1263.000,29.544,46.128,
27.700,-1272.000,29.658,46.353,
27.800,-1281.000,29.772,46.578,
27.900,-1291.000,29.886,46.811,
28.000,-1301.000,30.003,47.044,
28.100,-1310.000,30.111,47.261,
28.200,-1321.000,30.225,47.489,
28.300,-1327.000,30.344,47.719,
28.400,-1340.000,30.458,47.947,
28.500,-1344.000,30.572,48.169,
28.600,-1344.000,30.692,48.403,
28.700,-1344.000,30.803,48.622,
28.800,-1344.000,30.911,48.844,
28.900,-1344.000,31.025,49.072,
29.000,-1386.000,31.136,49.294,
29.100,-1397.000,31.247,49.517,
29.200,-1404.000,31.364,49.742,
29.300,-1411.000,31.478,49.969,
29.400,-1411.000,31.589,50.194,
29.500,-1411.000,31.703,50.417,
29.600,-1411.000,31.814,50.642,
29.700,-1446.000,31.931,50.872,
29.800,-1454.000,32.039,51.094,
29.900,-1463.000,32.153,51.317,
30.000,-1463.000,32.253,51.517,
