20.3,101,13.506,12.017
20.4,98,13.547,12.097
20.5,95,13.589,12.183
20.6,91,13.633,12.267
20.7,88,13.678,12.353
20.8,85,13.719,12.439
20.9,81,13.764,12.522
21,78,13.803,12.603
21.1,74,13.847,12.689
21.2,70,13.886,12.772
21.3,67,13.931,12.858
21.4,64,13.969,12.942
21.5,61,14.014,13.028
21.6,57,14.056,13.111
21.7,54,14.1,13.197
21.8,50,14.142,13.286
21.9,47,14.186,13.369
22,43,14.228,13.456
22.1,40,14.269,13.539
22.2,38,14.311,13.619
22.3,34,14.353,13.703
22.4,30,14.394,13.789
22.5,27,14.436,13.869
22.6,24,14.481,13.958
22.7,21,14.519,14.042
22.8,18,14.564,14.128
22.9,15,14.606,14.214
23,11,14.647,14.3
23.1,8,14.692,14.383
23.2,5,14.736,14.469
23.3,2,14.778,14.556
23.4,-3,14.819,14.636
23.5,-6,14.864,14.722
23.6,-9,14.903,14.803
23.7,-13,14.944,14.892
23.8,-16,14.989,14.975
23.9,-18,15.022,15.011
24,-15,15.122,14.997
24.1,-4,15.258,14.983
24.2,9,15.411,14.983
24.3,20,15.556,14.983
24.4,32,15.694,14.983
24.5,43,15.842,14.983
24.6,54,15.983,14.983
24.7,64,16.125,14.983
24.8,77,16.267,14.983
24.9,88,16.408,14.983
25,99,16.547,14.983
25.1,111,16.692,14.983
25.2,122,16.833,14.983
25.3,133,16.969,14.983
25.4,145,17.114,14.983
25.5,156,17.256,14.983
25.6,167,17.397,14.983
25.7,178,17.536,14.983
25.8,189,17.675,14.983
25.9,199,17.814,14.983
26,209,17.958,14.983
26.1,220,18.1,14.983
26.2,230,18.242,14.983
26.3,241,18.381,14.983
26.4,252,18.531,14.983
26.5,263,18.664,14.983
26.6,274,18.806,14.983
26.7,285,18.95,14.983
26.8,296,19.094,14.983
26.9,307,19.233,14.983
27,318,19.375,14.983
27.1,330,19.514,14.983
27.2,341,19.653,14.983
27.3,352,19.794,14.983
27.4,363,19.936,14.983
27.5,372,20.017,14.997
27.6,372,20.008,15.111
27.7,364,19.992,15.258
27.8,346,19.992,15.406
27.9,335,19.992,15.55
28,326,19.992,15.694
28.1,312,19.992,15.836
28.2,299,19.992,15.978
28.3,289,19.992,16.117
28.4,276,19.992,16.258
28.5,268,19.992,16.406
28.6,258,19.992,16.547
28.7,244,19.992,16.686
28.8,238,19.992,16.828
28.9,223,19.992,16.969
29,213,19.992,17.108
29.1,205,19.992,17.256
29.2,194,19.992,17.394
29.3,184,19.992,17.536
29.4,173,19.992,17.675
29.5,162,19.992,17.817
29.6,149,19.992,17.956
29.7,141,19.992,18.097
29.8,130,19.992,18.236
29.9,118,19.992,18.383
30,104,19.992,18.525
